userId,movieId,rating
122270,8360,3.5
49018,32,2.0
89527,109374,3.5
106704,1060,3.0
47791,1732,2.0
11304,504,1.0
49851,1792,2.5
40721,32213,4.0
136187,1816,2.0
132231,3996,5.0
66226,2302,3.0
92525,2340,4.0
60653,4007,4.0
121449,1136,4.0
135385,1079,4.5
73022,780,5.0
49439,1086,4.5
3288,6979,4.5
92185,186,0.5
118549,2003,3.0
20619,62,3.0
5471,5060,5.0
61740,8866,3.5
123719,3153,4.0
75231,588,3.5
107440,40732,3.5
81523,151,3.0
45660,81845,4.5
57377,968,4.0
81218,321,1.0
112292,150,4.0
55668,610,3.5
46653,1407,0.5
51995,69526,4.0
66358,1556,2.5
2568,5945,3.0
65530,1275,4.5
4786,8641,4.0
81740,3269,3.0
125362,4425,2.0
130446,84152,4.0
26875,296,1.0
116490,1641,4.0
45087,434,4.0
80807,6874,4.0
62515,2702,4.0
56831,6539,4.5
63688,3391,4.0
117543,780,2.0
71992,4896,4.0
37413,2077,4.0
108502,3543,3.0
113912,593,4.0
102032,6157,2.0
100332,5418,3.5
110890,52,4.0
126432,3361,3.0
120267,4020,3.5
10434,358,3.0
69932,351,3.0
30849,7063,5.0
81607,1997,3.5
32667,2762,4.0
58639,1042,1.0
45533,2243,5.0
92992,59369,3.0
21227,786,3.0
103649,2279,5.0
92349,292,3.0
121115,3752,4.0
90462,2539,4.0
117793,2694,3.0
123719,1513,3.0
75115,7361,4.5
115904,60,4.0
48186,588,4.0
6539,2858,4.0
103126,2858,5.0
46412,543,3.0
89392,71876,3.0
76997,46850,4.0
79159,5001,4.0
120773,780,4.0
11701,5952,3.5
8566,538,4.5
103687,1247,3.0
96664,780,4.0
115982,3638,4.5
121660,2290,4.0
7058,2395,2.0
88011,593,5.0
138416,69,4.0
103610,11,5.0
29140,1408,4.0
7376,662,2.0
12931,2194,5.0
48578,910,5.0
59852,2641,3.0
17842,87232,4.0
137818,4728,3.5
74336,3175,3.5
45385,589,5.0
47488,1339,4.0
12286,1653,5.0
89549,1197,4.0
29511,33166,3.0
38917,356,5.0
84851,208,3.0
65431,6409,3.5
36308,82463,4.0
84160,1963,3.0
138228,110,4.0
67015,1219,3.0
47690,4447,3.0
93063,1196,5.0
55304,1289,5.0
14013,3910,5.0
69894,912,5.0
33991,6887,4.0
103362,60069,4.5
87338,2167,2.0
101705,805,5.0
94855,147,2.0
75939,5902,4.5
37018,1080,4.0
51991,55247,3.5
107103,296,5.0
58359,3186,3.0
22182,839,1.0
106218,3326,4.0
109310,2629,3.0
109084,1131,0.5
26809,1485,0.5
13757,30793,4.0
129142,520,3.0
63147,1365,2.5
22149,1645,3.0
48000,7454,2.0
115146,6,4.5
69480,253,2.0
122266,8622,3.0
90078,4855,5.0
90878,1968,4.0
81739,1831,3.0
68596,1959,5.0
1267,1701,2.0
96250,29,5.0
128190,4518,4.0
124048,4848,4.0
93219,2746,1.0
32881,76251,3.0
11846,2081,4.0
79715,225,2.5
903,2369,3.0
79904,57504,4.0
82635,342,3.5
133367,415,4.0
101749,3362,5.0
1729,1378,1.0
115711,1225,5.0
36093,1243,3.0
68296,3624,4.0
27074,5064,3.5
9240,778,5.0
31782,5872,3.5
73948,1019,4.0
63078,3450,3.5
9109,1291,4.0
48875,1041,4.0
23523,3699,4.0
23523,5994,3.0
1662,524,1.5
44458,4687,3.0
101112,1373,2.0
109279,1094,3.0
24814,6569,3.5
39085,6365,4.0
131053,4499,2.5
16190,720,2.5
60019,590,1.0
22723,2915,3.0
11549,4027,5.0
120762,593,3.0
80420,2657,5.0
46470,2296,0.5
7504,337,3.0
64779,1441,4.0
129288,2502,5.0
18115,3698,0.5
35050,4306,3.5
61814,2135,2.0
100712,5693,2.0
117133,41997,3.0
22697,2502,4.5
19318,5349,3.0
73382,942,4.5
39873,80463,4.0
115224,595,5.0
6034,2006,3.0
80920,7405,3.0
61394,5193,3.0
12838,6365,3.0
123426,1235,3.5
124162,1375,4.0
117098,4224,1.5
91356,1374,3.0
92645,1240,4.0
76272,2916,3.0
49632,60072,3.5
76629,54997,3.0
128181,2247,4.0
41131,30707,4.5
79197,5679,2.5
77525,4638,2.0
136041,305,3.0
49989,1772,1.0
17495,2329,4.0
75810,8965,4.0
117560,1248,3.0
73940,5303,4.0
131081,1238,4.0
115606,4002,3.0
40879,2194,3.5
86990,2019,4.5
107720,2709,3.5
108403,3681,4.5
80361,8258,3.0
77297,1135,4.0
69756,3135,3.0
26978,5316,5.0
25510,179,3.0
112203,1097,5.0
36837,2078,4.0
21737,1183,3.0
122995,5434,4.0
41504,88140,4.0
62776,5445,3.0
6034,19,2.5
64690,648,2.5
35962,3317,3.5
94975,50872,4.0
95849,2890,2.0
107892,2797,3.5
72139,1997,4.5
65160,87,3.0
40922,2599,2.5
115225,6863,3.5
11589,6957,5.0
131531,1924,5.0
122387,58803,3.0
137426,34405,4.5
102213,7762,4.0
51927,2355,3.0
25503,919,4.0
108721,2004,2.0
22408,1304,4.0
39357,172,3.0
131528,316,3.5
61576,1193,4.0
23371,2944,4.0
870,2943,5.0
69695,3418,4.0
134977,5500,2.0
38267,1913,4.0
15386,1221,4.0
38533,3578,5.0
136056,56367,4.5
125935,7,3.0
88956,1246,3.5
24602,2762,2.5
41638,5944,3.0
131896,3727,3.0
56573,1172,5.0
83949,3387,3.0
44977,515,3.0
52782,10,4.0
70736,327,2.0
1726,587,3.5
64111,1198,4.0
52551,1060,3.0
98999,1900,4.0
71871,2067,4.5
118009,4361,3.0
57458,30793,3.0
2249,3201,4.0
279,595,5.0
104121,2378,4.0
20372,6890,2.5
78719,3742,4.0
48568,5942,5.0
34323,344,0.5
114846,4011,5.0
136181,1183,5.0
137828,2125,4.5
995,318,3.0
4089,47124,4.0
16398,6753,3.5
52939,3088,4.0
115620,6365,3.5
88820,1969,2.0
121425,1517,3.0
5423,8874,4.0
87856,44191,0.5
25708,1247,4.5
86716,2360,5.0
91971,5464,4.5
40918,912,4.0
60207,2294,3.0
80589,720,4.0
70035,5349,3.5
55804,1233,4.0
123835,2490,1.5
22106,2542,4.0
49219,1732,2.5
19781,1909,4.0
3428,1721,2.0
54822,1580,4.0
32093,48516,5.0
94827,1262,4.5
69199,1213,5.0
92791,3999,5.0
5779,2151,1.0
27617,1952,5.0
42124,3916,3.0
68367,2841,2.5
74654,6539,2.5
133329,551,4.5
131054,2990,3.0
77714,552,1.5
120045,1917,4.5
115754,1961,5.0
90618,3114,4.0
35162,2414,4.0
107826,236,3.0
8172,3296,4.0
87754,1265,2.5
38740,2160,4.0
38070,48385,3.0
58272,1213,4.0
34564,442,3.0
72834,8492,3.0
98316,2858,4.5
23627,1127,2.5
121535,119145,1.5
91197,2706,5.0
125073,2289,5.0
88450,904,3.0
77506,6764,4.5
52886,4369,3.5
44729,588,3.0
98419,7090,3.5
32341,5128,2.5
22595,1407,2.0
99723,73,5.0
13003,1270,4.0
108355,858,3.5
69064,60037,3.0
48188,288,3.0
110182,3623,2.5
111218,3998,3.0
71356,1259,5.0
24747,492,3.0
53967,8573,4.0
53640,6793,4.0
81701,3361,4.5
99182,79,3.0
38741,101,4.0
88953,1302,4.0
129961,5952,0.5
59849,5349,4.0
32137,1276,4.0
42968,434,5.0
94110,61024,3.0
127630,2081,2.5
131715,1722,3.0
111974,597,3.0
22347,2028,3.0
79374,329,4.0
89569,317,2.0
58402,2028,4.0
131165,2532,4.0
137501,5134,4.0
85523,3730,4.0
49846,589,1.5
35550,77540,2.5
76437,4016,1.5
118513,2021,5.0
100214,786,2.5
30620,2413,4.0
58700,4788,4.0
26515,1073,3.0
36045,32587,3.0
127303,73929,2.0
74776,1244,4.0
94821,7438,4.0
38919,4995,5.0
55726,4256,2.0
47164,357,3.0
107460,47,4.0
104506,1394,5.0
73257,1307,5.0
28930,1250,5.0
119786,5989,5.0
44083,1379,3.0
42935,1208,4.0
64430,5463,4.0
126750,1333,3.5
53830,74624,2.0
85244,106918,4.5
14421,518,3.0
22470,344,5.0
103301,68135,3.0
32196,2115,3.5
119207,2001,4.0
95789,4396,3.0
14720,1257,3.0
39836,6380,3.0
74322,1777,3.5
43917,271,3.0
85620,5882,2.0
124752,27773,3.0
109173,56367,4.0
111139,76093,4.0
43925,2716,3.5
135546,150,4.0
30998,104374,3.0
10008,1120,5.0
114950,293,5.0
126114,902,4.0
136568,2701,2.0
128224,153,3.0
94515,1729,4.0
48457,370,0.5
103028,7317,3.0
59530,344,2.0
8008,3469,3.5
85409,786,3.0
56284,110102,3.0
94016,3527,4.0
19046,1946,3.0
75600,378,3.0
70878,5378,2.5
124731,26005,4.0
127486,2794,5.0
119058,6377,4.0
67182,68157,3.5
